"Name","SamAccountName","GroupScope","GroupCategory","Description","DistinguishedName"
"Administradores","Administradores","DomainLocal","Security","Los administradores tienen acceso completo y sin restricciones al equipo o dominio","CN=Administradores,CN=Builtin,DC=almerialogitech,DC=local"
"Usuarios","Usuarios","DomainLocal","Security","Los usuarios no pueden hacer cambios accidentales o intencionados en el sistema y pueden ejecutar la mayoría de aplicaciones","CN=Usuarios,CN=Builtin,DC=almerialogitech,DC=local"
"Invitados","Invitados","DomainLocal","Security","De forma predeterminada, los invitados tienen el mismo acceso que los miembros del grupo Usuarios, excepto la cuenta de invitado que tiene más restricciones","CN=Invitados,CN=Builtin,DC=almerialogitech,DC=local"
"Opers. de impresión","Opers. de impresión","DomainLocal","Security","Los miembros pueden administrar impresoras instaladas en controladores de dominio","CN=Opers. de impresión,CN=Builtin,DC=almerialogitech,DC=local"
"Operadores de copia de seguridad","Operadores de copia de seguridad","DomainLocal","Security","Los operadores de copia de seguridad pueden invalidar restricciones de seguridad con el único propósito de hacer copias de seguridad o restaurar archivos.","CN=Operadores de copia de seguridad,CN=Builtin,DC=almerialogitech,DC=local"
"Duplicadores","Duplicadores","DomainLocal","Security","Pueden replicar archivos en un dominio","CN=Duplicadores,CN=Builtin,DC=almerialogitech,DC=local"
"Usuarios de escritorio remoto","Usuarios de escritorio remoto","DomainLocal","Security","A los miembros de este grupo se les concede el derecho de iniciar sesión remotamente","CN=Usuarios de escritorio remoto,CN=Builtin,DC=almerialogitech,DC=local"
"Operadores de configuración de red","Operadores de configuración de red","DomainLocal","Security","Los miembros en este equipo pueden tener algunos privilegios administrativos para administrar la configuración de las características de la red","CN=Operadores de configuración de red,CN=Builtin,DC=almerialogitech,DC=local"
"Usuarios del monitor de sistema","Usuarios del monitor de sistema","DomainLocal","Security","Los miembros de este grupo tienen acceso a los datos del contador de rendimiento de forma local y remota","CN=Usuarios del monitor de sistema,CN=Builtin,DC=almerialogitech,DC=local"
"Usuarios del registro de rendimiento","Usuarios del registro de rendimiento","DomainLocal","Security","Los miembros de este grupo pueden programar contadores de registro y rendimiento, habilitar proveedores de seguimiento y recopilar seguimientos de eventos localmente y a través del acceso remoto a este equipo","CN=Usuarios del registro de rendimiento,CN=Builtin,DC=almerialogitech,DC=local"
"Usuarios COM distribuidos","Usuarios COM distribuidos","DomainLocal","Security","Los miembros pueden iniciar, activar y usar objetos de COM distribuido en este equipo.","CN=Usuarios COM distribuidos,CN=Builtin,DC=almerialogitech,DC=local"
"IIS_IUSRS","IIS_IUSRS","DomainLocal","Security","Grupo integrado usado por Internet Information Services.","CN=IIS_IUSRS,CN=Builtin,DC=almerialogitech,DC=local"
"Operadores criptográficos","Operadores criptográficos","DomainLocal","Security","Los miembros tienen autorización para realizar operaciones criptográficas.","CN=Operadores criptográficos,CN=Builtin,DC=almerialogitech,DC=local"
"Lectores del registro de eventos","Lectores del registro de eventos","DomainLocal","Security","Los miembros de este grupo pueden leer registros de eventos del equipo local.","CN=Lectores del registro de eventos,CN=Builtin,DC=almerialogitech,DC=local"
"Acceso DCOM a Serv. de certif.","Acceso DCOM a Serv. de certif.","DomainLocal","Security","Los miembros de este grupo se pueden conectar a entidades de certificación en la empresa.","CN=Acceso DCOM a Serv. de certif.,CN=Builtin,DC=almerialogitech,DC=local"
"Servidores de acceso remoto RDS","Servidores de acceso remoto RDS","DomainLocal","Security","Los servidores de este grupo permiten a los usuarios de programas RemoteApp y escritorios virtuales personales obtener acceso a estos recursos. En implementaciones con conexión a Internet, estos servidores se suelen implementar en una red perimetral. Este grupo debe llenarse en servidores que ejecuten el Agente de conexión a Escritorio remoto. Los servidores de Puerta de enlace de Escritorio remoto y de Acceso web de Escritorio remoto usados en la implementación deben formar parte de este grupo.","CN=Servidores de acceso remoto RDS,CN=Builtin,DC=almerialogitech,DC=local"
"Servidores de extremo RDS","Servidores de extremo RDS","DomainLocal","Security","Los servidores de este grupo ejecutan máquinas virtuales y hospedan sesiones donde se ejecutan los programas RemoteApp y los escritorios virtuales personales de los usuarios. Este grupo debe llenarse en los servidores que ejecuten el Agente de conexión a Escritorio remoto. Los servidores host de sesión de Escritorio remoto y de virtualización de Escritorio remoto usados en la implementación deben formar parte de este grupo.","CN=Servidores de extremo RDS,CN=Builtin,DC=almerialogitech,DC=local"
"Servidores de administración RDS","Servidores de administración RDS","DomainLocal","Security","Los servidores de este grupo pueden realizar acciones administrativas rutinarias en servidores que ejecuten Servicios de Escritorio remoto. Este grupo debe llenarse en todos los servidores de una implementación de Servicios de Escritorio remoto. Los servidores que ejecuten el servicio Administración central de RDS deben incluirse en este grupo.","CN=Servidores de administración RDS,CN=Builtin,DC=almerialogitech,DC=local"
